supplier_id,dependency,geographic,reliability,substitutability,revenue_weighted,propagation
1,-15.531202456378306,-2522.0004536207816,-12133.831864758267,29.001207853046516,38790001.755164735,-519.9973430770075
2,-18.10583850524978,2600.3533854301418,-5371.517195340599,19.4795395125847,6299493.27257265,-12988.671163588404
3,-15.768454207554077,2683.6681192560886,527.3576399651229,42.88393710596778,6447730.030952231,4125.026387603877
4,-19.7217309343851,166631.22475161022,-2622.3858854567234,19.47953951258471,3277784.825564516,5536.730772270232
5,-26.56589480385646,3074.8826193597542,3261.3827892182126,206.60389788714946,-540821.4001456375,3223.1094486518787
6,-40.682013119995574,-937.7442045276853,-2454.30458451531,48.61967706615966,-526079.699567897,-139.5799591625694
7,-59.83539579899513,4122.583943996614,-3515.794800978366,-67.66636704164978,-1311607.2668257058,-1102.9907957525377
8,-52.375794884159966,-6724.90892420875,-6773.98948397888,-60.96651106751553,-520419.23089024646,-4841.266796129255
9,-38.38022600911177,6304.503093163029,-3204.50252828282,-63.37133774116945,-321921.0492913995,927.4217236866967
10,-40.646804195321636,-4387.662106935331,896.3675314243538,17.585713187907125,-1049256.1570192045,2778.8639349866626
11,-16.263784243527695,2305.899900005502,2502.300655334493,12.883667530717439,-982746.7133609208,1192.6770540963066
12,-39.38366725806659,1411.7844073011743,157.22994466222684,18.48769055152527,-1005873.3408594673,-2298.888489516873
13,-19.592544888072975,-3943.291534146784,-4600.635631240359,28.670252619126146,-317077.9945569765,-3877.8475487911833
14,-25.818040442762467,-3064.841162227359,4112.250573986979,15.052179611162952,-1544826.8264643745,1554.5510478094823
15,-32.792981302467474,-1090.4964917799916,-873.1143781997879,19.741009667396252,1598941.5635264579,-1366.5227952782104
16,-35.57993963469912,-4902.007130544531,-910.2127455705353,47.3440930202851,-607541.4401283223,-3244.3721717183103
17,29.534826103363503,-5287.133462994614,-98.21887616132642,243.0868700130067,-1878524.3467519833,-1620.1636004864988
18,-46.21114866313871,-5137.3066937568565,3081.9490577165757,21.6922771433521,114256.86748336858,5700.363609256181
19,-47.44913371494003,-4954.533137052965,2026.9859652939062,29.06084944727426,291566.7062523825,3248.8233412073705
20,-19.667141963901045,-4722.594361807582,3444.858958521316,22.60947543740782,810490.784053986,4851.157495146619
21,-24.725789286932333,-3006.961247960229,2230.650660054437,-6.1159924661939815,-1134795.6998538694,-675.7523502574813
22,-30.57965748315944,2902.5138550918996,-14236.011416654397,27.620996535271114,134723.147216146,-6306.148742962684
23,-39.38366725806659,2426.2782815456217,2264.295111951431,-63.37133774116945,-1003491.3582792876,-1830.0893952509095
24,-47.770235032852426,10656.24749257648,-3303.0741126612247,22.77556922111301,652112.4984880686,-8198.622359146995
25,-21.538916207951253,-2532.7361281851877,-395.45359227253067,-59.612958734555946,-673035.4484485053,2740.33214453373
26,-41.5830115044688,754.2073870225968,-1193.686641682613,22.035310597198023,-1380495.6923538626,1731.8981974440571
27,-29.95812845080605,-3100.368947106669,-2144.9083692037098,24.618437065306054,239217.0012376832,-3709.158564169515
28,-40.45403349234446,-6426.372950157418,332.8425642129451,49.577284184928416,-563803.6293898361,-2193.504633521124
29,-66.52652156502897,-2959.2675483895414,-2494.7566881127777,19.89969822889446,-1793583.3590586258,1147.6264072469635
30,-53.67620735963367,-48279.69740510182,-28763.714824018363,-38.41954378247479,-2261354.293321695,-1546.0368654208478
31,-35.20920397581291,-2378.385288432523,-2540.8664468288507,30.039122365599972,-748284.7156802741,-1404.0672947780217
32,-86.8634695745751,2501.912010102228,-396.38375799218676,-40.10959087214161,-1713042.1355750856,-3103.822064594803
33,-43.51028562533091,-7143.459904373242,-257.02123985074206,52.30815840022416,293158.4414939928,7739.985883990427
34,-90.41641592881727,-5595.903192189279,-4249.58992358004,-65.26154036799585,-1653388.3631253163,-3346.882092799951
35,-38.86430503758226,-3985.8842826398454,3808.700097890067,-8.660415975825147,-930547.57737547,-363.5257399160642
36,-39.26568278151695,-2082.9484411474637,752.2576331319101,-104.8523129113676,-379214.27211893315,607.4697353082541
37,-41.5830115044688,-6265.703590358782,-472.8645077650026,17.585713187907125,-1457740.7485073518,396.34430805523306
38,-61.44529463334837,-5579.819896267117,-1689.0488141024894,-72.09093646869017,-1237226.8476683374,-2812.0278689474426
39,-50.065695711087336,941.5229090379622,-1291.0592238716408,-492.3122365076523,-548100.3571786947,-1699.4574469106915
40,-216.4579104462773,8479.81835535725,6516.525658068578,-55.94363068122037,16910.176596415327,-3016.27007625056
41,-34.84628517678819,-7435.779776944869,-8565.400386137353,23.429449884293227,301199.831541805,-756.9461876998492
42,-31.172086247670144,-4722.107395720324,1627.824447302449,32.07133795403034,-820500.4965525708,-52.1248440425807
43,-46.75991314447658,8128.58264034966,-1795.752400074955,22.143603439619564,744833.4587955567,13594.342993190798
44,-40.646804195321636,-4625.559739469992,877.7873154953533,-69.0226907906857,-1025379.8736745366,3052.2846184751843
45,-30.84667025734372,-73658.14183048981,-5815.749855960045,30.443812686292514,1908870.3556430247,1030.4346903174553
46,-38.67802608443377,2375.787867810219,-4093.554185742261,25.980121784457147,416173.4892480593,4599.103808111357
47,-23.18312132072463,-3041.2457848293175,-388.31842205051186,26.563359133785166,1514776.0947078227,-6240.141293940079
48,-52.098180593123814,17466.91755600023,-26104.43803050474,-9.545565870820942,-2194585.3834447255,-3297.295726370167
49,-40.67744628037012,-4421.4921965711455,886.1766839181593,23.824825304968048,-822528.6873674417,1592.8256969055726
50,-77.51635553435055,2492.1518469646753,-947.2745526268129,2.0077458461303164,-1790397.1170258473,-960.4916516896985
51,-49.68694049400108,-471.0525568283666,2081.8660294076635,68.46955553765936,-1462081.0549965792,21.44491386784082
52,-41.5830115044688,-3011.1677286741897,-1877.5498174525255,22.035310597198023,-1635306.5267996464,1799.5363191621673
53,-16.983399807830914,-98778.07653034496,-5834.779441149922,35.03270911145761,2961408.4550566594,-9119.050500504869
54,-34.23795735508196,-4441.643012702343,-6403.659768177185,17.092042904135216,-647472.1504472381,48.608230758457445
55,-30.815960728877958,-1016.7553061744187,-135.77466074228616,29.5418944382047,-658717.4459586577,-855.9698091237854
56,-39.90493249981947,-4925.537299993705,-2268.007439751596,25.832225836969428,-1056842.61561206,-751.8825078420527
57,-23.7158039097436,-3348.4392017092837,-3806.8138312261813,36.03271079369608,-173773.44406179962,-810.851370807369
58,-72.45380468691845,-2399.8794545132646,-3365.844171736587,265.98331149336326,-1843056.9245227494,-5036.092360073376
59,-24.75643137198081,4440.258956786547,2781.1914330991613,213.00661537678772,-524930.207744593,-2240.2842152631197
